part_id,date,location,e1,e2,age,condition_framing,order_partner,order_game,pup,game,condition_partner,abandon,prompt,we,final sample,notes
weco_pilot1,6/30/22,zoom,maya,julie,3,we,group_first,barn_first,cat,barn,group,1,2,2,0,participant hard to hear
weco_pilot1,6/30/22,zoom,maya,julie,3,we,group_first,barn_first,bunny,bucket,individual,1,2,2,0,"e2 said ""you"" instead of ""we"" (10:10)"
weco_pilot2,7/1/22,zoom,maya,julie,3,we,individual_first,barn_first,bunny,barn,individual,1,4,2,0,
weco_pilot2,7/1/22,zoom,maya,julie,3,we,individual_first,barn_first,cat,bucket,group,1,3,2,0,
weco_pilot3,7/1/22,zoom,maya,julie,3,you,group_first,bucket_first,bunny,bucket,group,1,4,3,0,participant hard to hear
weco_pilot3,7/1/22,zoom,maya,julie,3,you,group_first,bucket_first,cat,barn,individual,1,4,2,0,
weco_pilot4,6/30/22,zoom,maya,julie,2,you,group_first,bucket_first,bunny,bucket,group,1,3,2,0,"e2 said ""we will put it in the orange bucket"" at 4:25. also around 5 mins, not sure what her mom is saying to her. E2 said ""we will play"" instead of you at 5:24. "
weco_pilot4,6/30/22,zoom,maya,julie,2,you,group_first,bucket_first,cat,barn,individual,1,2,3,0,mother intervening a lot
weco_pilot5,7/5/22,zoom,maya,julie,2,we,group_first,barn_first,cat,barn,group,1,4,2,0,"e2 said ""do you want to play"" instead of we at 6:05. e2 said ""where do you"" instead of we at 6:35. again at 7:05"
weco_pilot5,7/5/22,zoom,maya,julie,2,we,group_first,barn_first,bunny,bucket,individual,1,5,2,0,"e2 said ""you"" instead of ""we"" 16:12. can't really tell if he abandons the bucket game or not"
weco_pilot6,9/22/22,zoom,maya,kaelin,2,you,group_first,bucket_first,cat,bucket,group,1,3,3,0,
weco_pilot6,9/22/22,zoom,maya,kaelin,2,you,group_first,bucket_first,bunny,box,individual,1,2,4,0,
weco_pilot7,9/29/22,zoom,maya,eleanor,2,we,group_first,bucket_first,bunny,bucket,group,1,2,3,0,at first prompt (10:55) I thought child said they want to play blicket game. I think parent repeated script wrong at around 12:45
weco_pilot7,9/29/22,zoom,maya,eleanor,2,we,group_first,bucket_first,cat,box,individual,1,1,95,0,"e2 said ""do you"" instead of ""we"" at 15:55"
weco_pilot8,9/20/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,bunny,bucket,individual,1,5,2,0,
weco_pilot8,9/20/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,cat,box,group,1,3,3,0,
weco_pilot9,9/27/22,zoom,maya,n/a,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,participant uncooperative - discard
weco_pilot9,9/27/22,zoom,maya,n/a,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,participant uncooperative - discard
weco_pilot10,10/4/22,zoom,maya,sabrina,2,you,group_first,bucket_first,NA,NA,group,1,2,NA,0,participant  uncooperative - discard
weco_pilot10,10/4/22,zoom,maya,sabrina,2,you,group_first,bucket_first,NA,NA,NA,NA,NA,NA,0,participant uncooperative - discard
weco_pilot11,10/4/22,zoom,maya,sabrina,2,we,individual_first,bucket_first,bunny,bucket,individual,1,3,95,0,
weco_pilot11,10/4/22,zoom,maya,sabrina,2,we,individual_first,bucket_first,cat,box,group,1,1,95,0,
weco_pilot12,10/4/22,zoom,maya,sabrina,3,you,group_first,bucket_first,bunny,bucket,group,1,2,2,0,
weco_pilot12,10/4/22,zoom,maya,sabrina,3,you,group_first,bucket_first,cat,box,individual,1,2,2,0,
weco_pilot13,10/6/22,zoom,maya,kaelin,2,we,group_first,bucket_first,bunny,bucket,group,1,2,4,0,
weco_pilot13,10/6/22,zoom,maya,kaelin,2,we,group_first,bucket_first,cat,box,individual,1,2,2,0,"parent gives participant answer for ""who did you play with"" (14:55)"
weco_pilot14,7/5/22,zoom,maya,julie,2,we,individual_first,barn_first,bunny,barn,individual,1,3,2,0,participant pretty uncooperative and inattentive. Ex: 12:20
weco_pilot14,7/5/22,zoom,maya,julie,2,we,individual_first,barn_first,cat,NA,group,NA,NA,NA,0,participant uncooperative - did not want to play
weco_pilot15,10/6/22,zoom,maya,eleanor,2,you,individual_first,bucket_first,bunny,bucket,individual,NA,NA,NA,0,participant uncooperative and inattentive - playing with other toys. Ended trial early 
weco_pilot15,10/6/22,zoom,maya,eleanor,2,you,individual_first,bucket_first,NA,NA,NA,NA,NA,NA,0,participant uncooperative and inattentive - playing with other toys. Ended trial early 
weco_pilot16,10/13/22,zoom,maya,kaelin,2,we,group_first,bucket_first,bunny,bucket,group,1,2,3,0,
weco_pilot16,10/13/22,zoom,maya,kaelin,2,we,group_first,bucket_first,cat,box,individual,1,1,3,0,
weco_pilot17,10/13/22,zoom,maya,kaelin,3,you,individual_first,bucket_first,bunny,bucket,individual,1,2,3,0,
weco_pilot17,10/13/22,zoom,maya,kaelin,3,you,individual_first,bucket_first,cat,box,group,1,2,3,0,
weco_pilot18,10/18/22,zoom,maya,sabrina,2,you,group_first,bucket_first,cat,bucket,group,1,2,3,0,
weco_pilot18,10/18/22,zoom,maya,sabrina,2,you,group_first,bucket_first,bunny,box,individual,1,1,3,0,
weco_pilot19,10/18/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,cat,bucket,individual,1,1,3,0,
weco_pilot19,10/18/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,bunny,box,group,1,1,3,0,
weco_final1,10/29/22,zoom,maya,eleanor,3,we,individual_first,bucket_first,bunny,bucket,individual,1,2,3,1,participant was interested after first prompt but experimenters continued w bucket game
weco_final1,10/29/22,zoom,maya,eleanor,3,we,individual_first,bucket_first,cat,box,group,1,1,3,1,
weco_final2,10/29/22,zoom,maya,eleanor,2,we,individual_first,bucket_first,bunny,bucket,individual,1,2,3,0,"dad said ""do YOU want to put it in bucket"" at 5:35, then e2 did at 5:46, both did it again around 7:20 & 8:40"
weco_final2,10/29/22,zoom,maya,eleanor,2,we,individual_first,bucket_first,cat,box,group,1,1,4,1,
weco_final3,10/29/22,zoom,maya,eleanor,3,we,individual_first,bucket_first,bunny,bucket,individual,1,1,2,0,"mom said ""do YOU want to see the game"" at 3:45 instead of we. Mom asked ""did you play or did bunny"" at 6:00 "
weco_final3,10/29/22,zoom,maya,eleanor,3,we,individual_first,bucket_first,cat,box,group,1,1,2,1,
weco_final4,10/29/22,zoom,maya,eleanor,2,we,individual_first,bucket_first,bunny,bucket,individual,1,2,95,1,seemed like child nodded to abondon game but was ambiguous 8:50
weco_final4,10/29/22,zoom,maya,eleanor,2,we,individual_first,bucket_first,cat,box,group,1,2,95,1,
weco_final5,10/29/22,zoom,maya,eleanor,2,we,individual_first,bucket_first,bunny,bucket,individual,1,4,2,1,"participant did not really abandon at 12:00, participant hard to hear"
weco_final5,10/29/22,zoom,maya,eleanor,2,we,individual_first,bucket_first,cat,box,group,1,4,2,1,
weco_final6,11/1/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,bunny,bucket,individual,1,2,95,1,can't tell how kid answers at 9:45 to who played question
weco_final6,11/1/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,cat,box,group,1,1,3,1,
weco_final7,11/3/22,zoom,maya,eleanor,3,we,individual_first,bucket_first,bunny,bucket,individual,1,2,3,0,mom said do YOU want to play 5:25
weco_final7,11/3/22,zoom,maya,eleanor,3,we,individual_first,bucket_first,cat,box,group,1,1,3,1,
weco_final8,11/5/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,cat,bucket,individual,1,1,95,0,e2 said do YOU want to  play the game 3:48
weco_final8,11/5/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,bunny,box,group,1,1,95,1,
weco_final9,11/5/22,zoom,maya,sabrina,2,we,individual_first,bucket_first,cat,bucket,individual,0,95,95,0,mom said do YOU want to see game 6:20. uncooperative - participant mostly unresponsive
weco_final9,11/5/22,zoom,maya,sabrina,2,we,individual_first,bucket_first,bunny,box,group,0,95,95,0,uncooperative - participant mostly unresponsive
weco_final10,11/5/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,cat,bucket,individual,1,1,2,0,mom said do YOU want to play game 14:50
weco_final10,11/5/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,bunny,box,group,1,1,2,1,
weco_final11,11//5/22,zoom,maya,sabrina,2,we,individual_first,bucket_first,cat,bucket,individual,1,3,3,1,
weco_final11,11/5/22,zoom,maya,sabrina,2,we,individual_first,bucket_first,bunny,box,group,1,1,3,1,
weco_final12,11/17/22,zoom,maya,eleanor,3,we,individual_first,bucket_first,cat,bucket,individual,1,1,3,0,"mom said ""do YOU want to see the game"" instead of ""we"" at 4:35"
weco_final12,11/17/22,zoom,maya,eleanor,3,we,individual_first,bucket_first,bunny,box,group,1,1,3,1,
weco_final13,11/29/22,zoom,maya,sabrina,2,we,individual_first,bucket_first,cat,bucket,individual,0,95,95,0,"e2 said you instead of we a couple times at 4:20, again at 6:00. participant inattentive "
weco_final13,11/29/22,zoom,maya,sabrina,2,we,individual_first,bucket_first,bunny,box,group,1,2,95,1,participant inattentive/uncooperative at beginning but then played
weco_final14,11/29/22,zoom,maya,sabrina,2,we,individual_first,bucket_first,bunny,bucket,individual,1,1,3?,1,
weco_final14,11/29/22,zoom,maya,sabrina,2,we,individual_first,bucket_first,cat,box,group,1,1,95,1,
weco_final15,11/29/22,zoom,maya,sabrina,2,we,individual_first,box_first,cat,box,individual,1,1,3?,0,"mom said ""you"" often when rephrasing, 4:20"
weco_final15,11/29/22,zoom,maya,sabrina,2,we,individual_first,box_first,bunny,bucket,group,1,1,95,0,"mom rephrased incorrectly, 7:50"
weco_final16,12/15/22,zoom,maya,kaelin,3,we,individual_first,box_first,bunny,box,individual,1,1,2,1,
weco_final16,12/15/22,zoom,maya,kaelin,3,we,individual_first,box_first,cat,bucket,group,1,1,3,0,"e2 said ""do you want to play"" instead of we at 7:50"
weco_final17,1/28/23,zoom,maya,sabrina,2,you,individual_first,box_first,bunny,box,individual,1,1,2,1,
weco_final17,1/28/23,zoom,maya,sabrina,2,you,individual_first,box_first,cat,bucket,group,1,1,2,1,
weco_final18,1/28/23,zoom,maya,sabrina,2,you,individual_first,box_first,bunny,box,individual,1,3,95,1,
weco_final18,1/28/23,zoom,maya,sabrina,2,you,individual_first,box_first,cat,bucket,group,1,1,95,1,
weco_final19,1/28/23,zoom,maya,sabrina,2,you,individual_first,box_first,cat,box,individual,1,1,2,1,
weco_final19,1/28/23,zoom,maya,sabrina,2,you,individual_first,box_first,bunny,bucket,group,1,1,95,1,"participant inattentive/uncooperative at times, at 11:20 to around 12:00"
weco_final20,1/28/23,zoom,maya,sabrina,2,you,individual_first,box_first,cat,box,individual,1,3,2,1,
weco_final20,1/28/23,zoom,maya,sabrina,2,you,individual_first,box_first,bunny,bucket,group,1,1,2,1,
weco_final21,1/31/23,zoom,maya,kaelin,3,you,individual_first,box_first,cat,box,individual,1,1,2,1,
weco_final21,1/31/23,zoom,maya,kaelin,3,you,individual_first,box_first,bunny,bucket,group,1,1,2,1,
weco_final22,2/6/23,zoom,maya,kaelin,3,you,individual_first,box_first,cat,box,individual,1,2,3,1,"mom said ""do you want to play with that"" about the new game at 5:00"
weco_final22,2/6/23,zoom,maya,kaelin,3,you,individual_first,box_first,bunny,bucket,group,1,1,3,1,
weco_final23,2/7/23,zoom,maya,eleanor,2,you,individual_first,box_first,cat,box,individual,1,1,95,1,
weco_final23,2/7/23,zoom,maya,eleanor,2,you,individual_first,box_first,bunny,bucket,group,1,1,3,1,
weco_final24,2/13/23,zoom,maya,kaelin,3,you,individual_first,box_first,cat,box,individual,1,3,95,0,"e2 said ""we should play again"" instead of you but then corrected at 10:45, weird zoom set up - participant on two screens"
weco_final24,2/13/23,zoom,maya,kaelin,3,you,individual_first,box_first,bunny,bucket,group,1,2,95,1,can't tell how kid answers at 19:45 to who played the game
weco_final25,2/14/23,zoom,maya,eleanor,3,you,group_first,bucket_first,cat,bucket,group,1,1,2,1,
weco_final25,2/14/23,zoom,maya,eleanor,3,you,group_first,bucket_first,bunny,box,individual,1,1,2,1,
weco_final26,2/18/23,zoom,maya,kaelin,2,you,group_first,bucket_first,cat,bucket,group,1,1,3,1,
weco_final26,2/18/23,zoom,maya,kaelin,2,you,group_first,bucket_first,bunny,box,individual,1,1,95,1,
weco_final27,2/18/23,zoom,maya,kaelin,2,you,group_first,bucket_first,cat,bucket,group,1,1,95,1,can't tell how kid answers at 7:00 to who played the game
weco_final27,2/18/23,zoom,maya,kaelin,2,you,group_first,bucket_first,bunny,box,individual,1,3,95,0,"participant inattentive, uncooperative 11:30-12:30, 15:00"
weco_final28,2/18/23,zoom,maya,kaelin,2,you,group_first,bucket_first,cat,bucket,group,1,1,95,1,
weco_final28,2/18/23,zoom,maya,kaelin,2,you,group_first,bucket_first,bunny,box,individual,1,1,2,1,
weco_final29,2/18/23,zoom,maya,kaelin,3,you,group_first,bucket_first,cat,bucket,group,1,1,3,1,
weco_final29,2/18/23,zoom,maya,kaelin,3,you,group_first,bucket_first,bunny,box,individual,1,1,95,1,"child said ""the box"" for who played the game at 11:30"
weco_final30,2/18/23,zoom,maya,kaelin,2,you,group_first,bucket_first,cat,bucket,group,1,1,2,1,
weco_final30,2/18/23,zoom,maya,kaelin,2,you,group_first,bucket_first,bunny,box,individual,1,1,95,1,
weco_final31,2/18/23,zoom,maya,kaelin,3,we,group_first,bucket_first,bunny,bucket,group,1,1,2,1,
weco_final31,2/18/23,zoom,maya,kaelin,3,we,group_first,bucket_first,cat,box,individual,1,1,2,1,
weco_final32,2/20/23,zoom,maya,kaelin,3,you,group_first,bucket_first,bunny,bucket,group,1,1,2,1,
weco_final32,2/20/23,zoom,maya,kaelin,3,you,group_first,bucket_first,cat,box,individual,1,1,2,1,
weco_final33,2/21/23,zoom,maya,eleanor,3,we,group_first,bucket_first,bunny,bucket,group,1,2,2,1,
weco_final33,2/21/23,zoom,maya,eleanor,3,we,group_first,bucket_first,cat,box,individual,1,1,95,1,child inattentive at times but not enough to exclude
weco_final34,3/4/23,zoom,maya,arod,2,you,group_first,bucket_first,bunny,bucket,group,1,4,95,1,
weco_final34,3/4/23,zoom,maya,arod,2,you,group_first,bucket_first,cat,box,individual,1,1,95,1,
weco_final35,3/4/23,zoom,maya,arod,3,we,group_first,bucket_first,bunny,bucket,group,1,1,95,1,
weco_final35,3/4/23,zoom,maya,arod,3,we,group_first,bucket_first,cat,box,individual,1,1,2,0,"e2 said ""you"" instead of ""we"" at 9:30"
weco_final36,3/4/23,zoom,maya,arod,2,you,group_first,bucket_first,bunny,bucket,group,1,1,95,0,participant uncooperative - not answering any questions
weco_final36,3/4/23,zoom,maya,arod,2,you,group_first,bucket_first,cat,box,individual,1,1,95,1,
weco_final37,3/4/23,zoom,maya,arod,3,we,group_first,box_first,cat,box,group,1,2,2,1,
weco_final37,3/4/23,zoom,maya,arod,3,we,group_first,box_first,bunny,bucket,individual,1,1,3,1,
weco_final38,3/4/23,zoom,maya,arod,2,you,group_first,box_first,cat,box,group,1,1,95,1,
weco_final38,3/4/23,zoom,maya,arod,2,you,group_first,box_first,bunny,bucket,individual,1,1,2,1,
weco_final39,3/4/23,zoom,maya,arod,3,we,group_first,box_first,cat,box,group,1,1,2?,1,can't tell how kid answers at 6:40 to who played the game
weco_final39,3/4/23,zoom,maya,arod,3,we,group_first,box_first,bunny,bucket,individual,1,1,2?,1,can't tell how kid answers at 10:40 to who played the game
weco_final40,3/4/23,zoom,maya,arod,2,you,group_first,box_first,cat,box,group,1,2,95,1,"kid said ""you"" for who played the game at 9:10"
weco_final40,3/4/23,zoom,maya,arod,2,you,group_first,box_first,bunny,bucket,individual,1,2,2,1,
weco_final41,3/6/23,zoom,maya,kaelin,2,we,group_first,box_first,cat,box,group,1,1,95,1,
